1542135330.62019 | #LOG_START           | ===
1542135330.63295 | ELM_VERSION          | ELM327 v1.4
1542135330.63322 | #INTERFACE           | /dev/ttyUSB0
1542135330.63344 | #PROTOCOL            | [3] ISO 9141-2
1542135330.63356 | #STATUS              | Car Connected
1542135330.63369 | #FRAME_START         | ---
1542135330.66410 | ELM_VOLTAGE          | N/V
1542135331.08165 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135331.42678 | COOLANT_TEMP         | 37 degC
1542135331.78230 | INTAKE_PRESSURE      | 39 kilopascal
1542135332.13217 | RPM                  | 1045.0 revolutions_per_minute
1542135332.48425 | SPEED                | 0 kph
1542135332.83428 | INTAKE_TEMP          | 26 degC
1542135332.83573 | #FRAME_END           | ---
1542135333.33693 | #FRAME_START         | ---
1542135333.36302 | ELM_VOLTAGE          | N/V
1542135333.57695 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135333.79000 | COOLANT_TEMP         | 37 degC
1542135334.01702 | INTAKE_PRESSURE      | 39 kilopascal
1542135334.24028 | RPM                  | 1048.0 revolutions_per_minute
1542135334.46423 | SPEED                | 0 kph
1542135334.68967 | INTAKE_TEMP          | 26 degC
1542135334.69105 | #FRAME_END           | ---
1542135335.19218 | #FRAME_START         | ---
1542135335.22330 | ELM_VOLTAGE          | N/V
1542135335.44975 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135335.68010 | COOLANT_TEMP         | 37 degC
1542135335.90426 | INTAKE_PRESSURE      | 39 kilopascal
1542135336.12758 | RPM                  | 1050.0 revolutions_per_minute
1542135336.35128 | SPEED                | 0 kph
1542135336.57935 | INTAKE_TEMP          | 26 degC
1542135336.58067 | #FRAME_END           | ---
1542135337.45692 | #FRAME_START         | ---
1542135337.49345 | ELM_VOLTAGE          | N/V
1542135337.70556 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135337.92056 | COOLANT_TEMP         | 37 degC
1542135338.14384 | INTAKE_PRESSURE      | 39 kilopascal
1542135338.38467 | RPM                  | 1053.0 revolutions_per_minute
1542135338.60710 | SPEED                | 0 kph
1542135338.83257 | INTAKE_TEMP          | 26 degC
1542135338.83390 | #FRAME_END           | ---
1542135339.33500 | #FRAME_START         | ---
1542135339.36327 | ELM_VOLTAGE          | N/V
1542135339.59327 | FUEL_STATUS          | ('Closed loop, using oxygen sensor feedback to determine fuel mix', '')
1542135339.80831 | COOLANT_TEMP         | 38 degC
1542135340.03145 | INTAKE_PRESSURE      | 39 kilopascal
1542135340.27077 | RPM                  | 1045.0 revolutions_per_minute
1542135340.49494 | SPEED                | 0 kph
